 BLEU    NIST       TER        METEROR   |  BLEU    NIST       TER        METEROR   | NAME
0.7851 11.7756 0.0877825090 0.5742836221 | 0.7967 13.2116 0.0822155663 0.5784030289 | in-no-pos-bidir-MERT
0.7849 11.7866 0.0912217491 0.5744388232 | 0.8041 13.2387 0.0829101011 0.5813060897 | all-all-r2l-Alt
0.7848 11.7890 0.0882738290 0.5739738972 | 0.8040 13.2402 0.0829969180 0.5811963115 | all-no-backward-r2l-Alt
0.7847 11.7745 0.0899115624 0.5742836221 | 0.8023 13.2455 0.0806962712 0.5805182428 | all-n-gram-no-backward-l2r-Alt
0.7845 11.7751 0.0902391091 0.5738193719 | 0.7996 13.2235 0.0810001302 0.5790675383 | no-lex-n-gram-no-backward-l2r-Alt
0.7844 11.7811 0.0908942024 0.5743611943 | 0.8018 13.2313 0.0826930590 0.5804310687 | in-no-backward-r2l-MERT
0.7841 11.7823 0.0922043891 0.5739738972 | 0.7981 13.2088 0.0849068889 0.5789385959 | in-no-backward-r2l-Alt
0.7841 11.7687 0.0886013757 0.5735880034 | 0.7955 13.2035 0.0826930590 0.5778701695 | in-no-pos-l2r-MERT
0.7839 11.7695 0.0912217491 0.5742836221 | 0.7989 13.2167 0.0816078482 0.5794337357 | all-n-gram-no-pos-bidir-Alt
0.7838 11.7923 0.0910579758 0.5734340362 | 0.8008 13.2467 0.0835612276 0.5794984913 | in-all-l2r-MERT
0.7834 11.7783 0.0913855224 0.5733571359 | 0.7959 13.2014 0.0832139602 0.5778489110 | all-n-gram-bidir-Alt
0.7832 11.7701 0.0913855224 0.5735880034 | 0.8008 13.2345 0.0809567218 0.5798661955 | in-no-bigram-pos-l2r-Alt
0.7827 11.7739 0.0904028824 0.5732035014 | 0.8009 13.2186 0.0823892000 0.5799095395 | all-all-r2l-MERT
0.7827 11.7738 0.0912217491 0.5728203801 | 0.7979 13.2121 0.0822589747 0.5783816627 | no-lex-n-gram-l2r-MERT
0.7827 11.7731 0.0887651490 0.5738193719 | 0.8015 13.2393 0.0803924122 0.5802351914 | in-no-bigram-pos-bidir-MERT
0.7826 11.7534 0.0915492958 0.5733571359 | 0.7982 13.2049 0.0824326084 0.5788312644 | in-n-gram-no-pos-l2r-MERT
0.7823 11.7658 0.0894202424 0.5732802910 | 0.8010 13.2277 0.0806094544 0.5798445301 | in-n-gram-bidir-Alt
0.7820 11.7668 0.0913855224 0.5735880034 | 0.7989 13.2183 0.0818682988 0.5794769017 | all-n-gram-no-pos-bidir-MERT
0.7819 11.7561 0.0910579758 0.5730500878 | 0.7994 13.2186 0.0816512567 0.5791751111 | in-n-gram-l2r-MERT
0.7818 11.7611 0.0918768425 0.5735109920 | 0.7979 13.2137 0.0820853410 0.5790890441 | no-lex-n-gram-no-pos-bidir-MIRA
0.7816 11.7594 0.0923681625 0.5734340362 | 0.7985 13.2121 0.0819985241 0.5792397077 | no-lex-n-gram-no-pos-bidir-Alt
0.7813 11.7622 0.0913855224 0.5738193719 | 0.7989 13.2169 0.0814342145 0.5794337357 | all-n-gram-no-pos-bidir-MIRA
0.7812 11.7468 0.0915492958 0.5728203801 | 0.7978 13.2032 0.0820419325 0.5787669180 | in-no-pos-l2r-Alt
0.7811 11.7720 0.0926957091 0.5731267671 | 0.7955 13.1962 0.0855580154 0.5780616889 | in-no-backward-r2l-MIRA
0.7810 11.7551 0.0918768425 0.5731267671 | 0.7974 13.2097 0.0818248904 0.5787026108 | all-n-gram-no-pos-l2r-Alt
